station,quadrat,count
1,1,2
1,2,0
1,3,1
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,1
2,6,3
2,7,4
2,8,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,1
4,1,0
4,2,1
4,3,1
4,4,3
4,5,0
4,6,0
4,7,0
4,8,1
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,4
6,7,0
6,8,0
7,1,2
7,2,0
7,3,2
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
8,1,
8,2,
8,3,
8,4,
8,5,
8,6,
8,7,
8,8,
9,1,
9,2,
9,3,
9,4,
9,5,
9,6,
9,7,
9,8,
10,1,
10,2,
10,3,
10,4,
10,5,
10,6,
10,7,
10,8,
11,1,
11,2,
11,3,
11,4,
11,5,
11,6,
11,7,
11,8,
12,1,
12,2,
12,3,
12,4,
12,5,
12,6,
12,7,
12,8,
13,1,
13,2,
13,3,
13,4,
13,5,
13,6,
13,7,
13,8,
14,1,
14,2,
14,3,
14,4,
14,5,
14,6,
14,7,
14,8,
15,1,
15,2,
15,3,
15,4,
15,5,
15,6,
15,7,
15,8,
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
19,1,1
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
20,1,0
20,2,0
20,3,0
20,4,7
20,5,0
20,6,0
20,7,0
20,8,0
21,1,0
21,2,0
21,3,0
21,4,1
21,5,0
21,6,0
21,7,1
21,8,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
24,1,
24,2,
24,3,
24,4,
24,5,
24,6,
24,7,
24,8,
25,1,
25,2,
25,3,
25,4,
25,5,
25,6,
25,7,
25,8,
26,1,
26,2,
26,3,
26,4,
26,5,
26,6,
26,7,
26,8,
27,1,
27,2,
27,3,
27,4,
27,5,
27,6,
27,7,
27,8,
28,1,
28,2,
28,3,
28,4,
28,5,
28,6,
28,7,
28,8,
29,1,
29,2,
29,3,
29,4,
29,5,
29,6,
29,7,
29,8,
30,1,
30,2,
30,3,
30,4,
30,5,
30,6,
30,7,
30,8,
31,1,
31,2,
31,3,
31,4,
31,5,
31,6,
31,7,
31,8,
32,1,0
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,0
33,1,1
33,2,0
33,3,0
33,4,0
33,5,0
33,6,0
33,7,0
33,8,0
34,1,1
34,2,0
34,3,0
34,4,0
34,5,0
34,6,0
34,7,0
34,8,0
35,1,1
35,2,0
35,3,0
35,4,0
35,5,0
35,6,0
35,7,0
35,8,0
36,1,0
36,2,0
36,3,0
36,4,0
36,5,0
36,6,2
36,7,2
36,8,3
37,1,0
37,2,0
37,3,0
37,4,0
37,5,0
37,6,0
37,7,0
37,8,0
38,1,0
38,2,0
38,3,0
38,4,0
38,5,0
38,6,0
38,7,0
38,8,0
39,1,0
39,2,0
39,3,1
39,4,0
39,5,0
39,6,0
39,7,0
39,8,1
40,1,1
40,2,0
40,3,0
40,4,0
40,5,0
40,6,0
40,7,2
40,8,0
41,1,5
41,2,0
41,3,0
41,4,0
41,5,0
41,6,0
41,7,0
41,8,0
42,1,0
42,2,11
42,3,0
42,4,0
42,5,0
42,6,0
42,7,0
42,8,0
43,1,1
43,2,0
43,3,0
43,4,0
43,5,0
43,6,0
43,7,0
43,8,0
44,1,0
44,2,0
44,3,0
44,4,0
44,5,0
44,6,0
44,7,0
44,8,0
45,1,0
45,2,0
45,3,0
45,4,0
45,5,0
45,6,0
45,7,0
45,8,0
46,1,0
46,2,0
46,3,0
46,4,0
46,5,0
46,6,0
46,7,0
46,8,0
47,1,0
47,2,0
47,3,0
47,4,0
47,5,0
47,6,0
47,7,0
47,8,0
48,1,0
48,2,0
48,3,0
48,4,0
48,5,0
48,6,0
48,7,0
48,8,0
49,1,0
49,2,0
49,3,0
49,4,0
49,5,0
49,6,0
49,7,0
49,8,1
50,1,0
50,2,1
50,3,0
50,4,1
50,5,1
50,6,1
50,7,0
50,8,0
51,1,0
51,2,0
51,3,0
51,4,1
51,5,0
51,6,0
51,7,0
51,8,0
52,1,0
52,2,0
52,3,0
52,4,0
52,5,0
52,6,0
52,7,0
52,8,0
53,1,0
53,2,0
53,3,0
53,4,0
53,5,0
53,6,0
53,7,0
53,8,0
54,1,0
54,2,0
54,3,0
54,4,0
54,5,0
54,6,0
54,7,0
54,8,0
55,1,0
55,2,0
55,3,0
55,4,0
55,5,0
55,6,0
55,7,0
55,8,0
56,1,0
56,2,0
56,3,0
56,4,0
56,5,0
56,6,0
56,7,0
56,8,0
57,1,0
57,2,0
57,3,0
57,4,0
57,5,0
57,6,0
57,7,0
57,8,0
58,1,0
58,2,0
58,3,0
58,4,0
58,5,0
58,6,0
58,7,0
58,8,0
59,1,0
59,2,0
59,3,0
59,4,0
59,5,0
59,6,0
59,7,0
59,8,0
60,1,0
60,2,0
60,3,0
60,4,0
60,5,0
60,6,0
60,7,0
60,8,0
61,1,0
61,2,0
61,3,0
61,4,0
61,5,0
61,6,0
61,7,0
61,8,0
62,1,1
62,2,0
62,3,0
62,4,0
62,5,0
62,6,0
62,7,0
62,8,0
63,1,0
63,2,0
63,3,0
63,4,1
63,5,0
63,6,0
63,7,0
63,8,0
64,1,0
64,2,0
64,3,0
64,4,0
64,5,0
64,6,0
64,7,0
64,8,0
65,1,0
65,2,4
65,3,2
65,4,0
65,5,0
65,6,0
65,7,6
65,8,0
66,1,0
66,2,0
66,3,0
66,4,0
66,5,0
66,6,2
66,7,6
66,8,0
67,1,0
67,2,0
67,3,0
67,4,0
67,5,0
67,6,0
67,7,0
67,8,0
68,1,0
68,2,2
68,3,0
68,4,0
68,5,0
68,6,0
68,7,0
68,8,0
69,1,0
69,2,0
69,3,7
69,4,1
69,5,0
69,6,0
69,7,0
69,8,2
70,1,0
70,2,0
70,3,0
70,4,0
70,5,1
70,6,0
70,7,0
70,8,0
71,1,0
71,2,0
71,3,0
71,4,1
71,5,1
71,6,0
71,7,0
71,8,0
72,1,0
72,2,0
72,3,0
72,4,0
72,5,0
72,6,5
72,7,3
72,8,4
73,1,1
73,2,27
73,3,1
73,4,3
73,5,0
73,6,2
73,7,0
73,8,0
74,1,0
74,2,0
74,3,0
74,4,0
74,5,0
74,6,0
74,7,0
74,8,0
75,1,0
75,2,0
75,3,0
75,4,0
75,5,0
75,6,0
75,7,0
75,8,1
76,1,8
76,2,0
76,3,0
76,4,0
76,5,0
76,6,0
76,7,0
76,8,0
77,1,0
77,2,1
77,3,0
77,4,0
77,5,0
77,6,0
77,7,0
77,8,3
78,1,8
78,2,3
78,3,0
78,4,0
78,5,5
78,6,0
78,7,0
78,8,4
79,1,0
79,2,0
79,3,0
79,4,0
79,5,0
79,6,0
79,7,0
79,8,0
80,1,0
80,2,0
80,3,0
80,4,0
80,5,0
80,6,0
80,7,0
80,8,0
81,1,1
81,2,0
81,3,0
81,4,2
81,5,1
81,6,10
81,7,1
81,8,0
82,1,0
82,2,0
82,3,0
82,4,0
82,5,0
82,6,0
82,7,0
82,8,0
83,1,0
83,2,0
83,3,0
83,4,0
83,5,0
83,6,0
83,7,0
83,8,0
84,1,0
84,2,0
84,3,0
84,4,0
84,5,0
84,6,0
84,7,0
84,8,0
85,1,0
85,2,0
85,3,0
85,4,0
85,5,0
85,6,0
85,7,0
85,8,0
86,1,0
86,2,0
86,3,0
86,4,0
86,5,1
86,6,0
86,7,0
86,8,1
87,1,0
87,2,0
87,3,0
87,4,0
87,5,0
87,6,2
87,7,2
87,8,0
88,1,5
88,2,0
88,3,3
88,4,2
88,5,0
88,6,1
88,7,1
88,8,0
89,1,0
89,2,0
89,3,0
89,4,0
89,5,0
89,6,0
89,7,0
89,8,0
90,1,0
90,2,0
90,3,0
90,4,0
90,5,0
90,6,0
90,7,0
90,8,0
91,1,0
91,2,0
91,3,0
91,4,3
91,5,0
91,6,0
91,7,0
91,8,0
92,1,0
92,2,0
92,3,0
92,4,0
92,5,0
92,6,0
92,7,0
92,8,0
93,1,0
93,2,0
93,3,0
93,4,0
93,5,0
93,6,0
93,7,0
93,8,2
94,1,0
94,2,3
94,3,0
94,4,1
94,5,0
94,6,0
94,7,0
94,8,0
95,1,0
95,2,0
95,3,0
95,4,0
95,5,0
95,6,0
95,7,0
95,8,0
96,1,0
96,2,0
96,3,0
96,4,0
96,5,0
96,6,0
96,7,0
96,8,0
97,1,0
97,2,0
97,3,0
97,4,0
97,5,0
97,6,0
97,7,0
97,8,0
98,1,0
98,2,0
98,3,0
98,4,0
98,5,0
98,6,0
98,7,0
98,8,0
99,1,0
99,2,0
99,3,0
99,4,0
99,5,0
99,6,0
99,7,0
99,8,0
100,1,4
100,2,0
100,3,0
100,4,0
100,5,4
100,6,0
100,7,0
100,8,0
101,1,7
101,2,2
101,3,0
101,4,10
101,5,0
101,6,0
101,7,0
101,8,0
102,1,1
102,2,16
102,3,16
102,4,1
102,5,5
102,6,1
102,7,11
102,8,6
103,1,0
103,2,1
103,3,0
103,4,0
103,5,0
103,6,0
103,7,0
103,8,0
104,1,4
104,2,0
104,3,0
104,4,0
104,5,0
104,6,0
104,7,0
104,8,0
105,1,0
105,2,0
105,3,0
105,4,0
105,5,0
105,6,0
105,7,0
105,8,0
106,1,0
106,2,0
106,3,0
106,4,0
106,5,0
106,6,0
106,7,0
106,8,0
107,1,0
107,2,2
107,3,0
107,4,0
107,5,0
107,6,0
107,7,0
107,8,0
108,1,0
108,2,0
108,3,3
108,4,0
108,5,0
108,6,4
108,7,0
108,8,0
109,1,5
109,2,0
109,3,0
109,4,0
109,5,0
109,6,4
109,7,12
109,8,0
110,1,0
110,2,0
110,3,0
110,4,0
110,5,0
110,6,3
110,7,0
110,8,0
111,1,0
111,2,0
111,3,0
111,4,0
111,5,0
111,6,0
111,7,0
111,8,0
112,1,0
112,2,0
112,3,0
112,4,0
112,5,0
112,6,0
112,7,0
112,8,0
113,1,0
113,2,0
113,3,0
113,4,0
113,5,0
113,6,0
113,7,0
113,8,0
114,1,1
114,2,0
114,3,0
114,4,0
114,5,0
114,6,0
114,7,0
114,8,0
115,1,0
115,2,0
115,3,0
115,4,3
115,5,0
115,6,0
115,7,0
115,8,0
116,1,0
116,2,0
116,3,0
116,4,0
116,5,0
116,6,3
116,7,0
116,8,1
117,1,0
117,2,0
117,3,0
117,4,0
117,5,0
117,6,0
117,7,0
117,8,0
118,1,0
118,2,0
118,3,0
118,4,0
118,5,0
118,6,0
118,7,0
118,8,0
119,1,0
119,2,0
119,3,0
119,4,0
119,5,0
119,6,0
119,7,0
119,8,0
120,1,0
120,2,0
120,3,0
120,4,0
120,5,0
120,6,0
120,7,0
120,8,0
121,1,0
121,2,0
121,3,0
121,4,0
121,5,0
121,6,0
121,7,0
121,8,0
122,1,1
122,2,0
122,3,0
122,4,0
122,5,0
122,6,0
122,7,0
122,8,0
123,1,0
123,2,0
123,3,0
123,4,0
123,5,0
123,6,0
123,7,0
123,8,0
124,1,0
124,2,0
124,3,0
124,4,0
124,5,0
124,6,0
124,7,0
124,8,0
125,1,0
125,2,0
125,3,0
125,4,0
125,5,0
125,6,0
125,7,0
125,8,0
126,1,0
126,2,0
126,3,0
126,4,0
126,5,0
126,6,0
126,7,0
126,8,0
127,1,0
127,2,0
127,3,0
127,4,0
127,5,0
127,6,0
127,7,0
127,8,0
128,1,0
128,2,0
128,3,0
128,4,0
128,5,0
128,6,0
128,7,0
128,8,0
129,1,0
129,2,0
129,3,0
129,4,0
129,5,0
129,6,2
129,7,0
129,8,0
130,1,0
130,2,0
130,3,0
130,4,0
130,5,0
130,6,0
130,7,0
130,8,0
131,1,0
131,2,0
131,3,0
131,4,0
131,5,0
131,6,0
131,7,0
131,8,0
132,1,0
132,2,0
132,3,0
132,4,0
132,5,0
132,6,0
132,7,0
132,8,0
133,1,0
133,2,0
133,3,0
133,4,0
133,5,0
133,6,0
133,7,0
133,8,0
134,1,0
134,2,0
134,3,0
134,4,0
134,5,0
134,6,0
134,7,0
134,8,0
135,1,0
135,2,0
135,3,0
135,4,6
135,5,0
135,6,0
135,7,0
135,8,0
136,1,0
136,2,0
136,3,0
136,4,0
136,5,0
136,6,0
136,7,0
136,8,0
137,1,0
137,2,0
137,3,0
137,4,0
137,5,0
137,6,0
137,7,0
137,8,0
138,1,0
138,2,0
138,3,0
138,4,0
138,5,0
138,6,0
138,7,0
138,8,0
139,1,0
139,2,0
139,3,0
139,4,0
139,5,0
139,6,0
139,7,0
139,8,0
140,1,0
140,2,0
140,3,0
140,4,0
140,5,0
140,6,0
140,7,3
140,8,0
141,1,0
141,2,0
141,3,0
141,4,0
141,5,0
141,6,0
141,7,4
141,8,0
142,1,0
142,2,6
142,3,0
142,4,0
142,5,0
142,6,0
142,7,0
142,8,0
143,1,0
143,2,0
143,3,0
143,4,0
143,5,0
143,6,0
143,7,0
143,8,0
144,1,0
144,2,0
144,3,0
144,4,0
144,5,0
144,6,0
144,7,0
144,8,0
145,1,0
145,2,0
145,3,0
145,4,0
145,5,0
145,6,0
145,7,0
145,8,0
146,1,0
146,2,0
146,3,0
146,4,0
146,5,0
146,6,2
146,7,0
146,8,0
147,1,0
147,2,0
147,3,0
147,4,0
147,5,0
147,6,0
147,7,0
147,8,0
148,1,0
148,2,0
148,3,0
148,4,0
148,5,0
148,6,0
148,7,0
148,8,0
149,1,0
149,2,0
149,3,0
149,4,0
149,5,0
149,6,0
149,7,0
149,8,0
150,1,2
150,2,0
150,3,38
150,4,0
150,5,0
150,6,0
150,7,0
150,8,0
151,1,0
151,2,0
151,3,0
151,4,0
151,5,0
151,6,0
151,7,0
151,8,0
152,1,2
152,2,0
152,3,0
152,4,2
152,5,1
152,6,0
152,7,0
152,8,0
153,1,1
153,2,0
153,3,0
153,4,0
153,5,0
153,6,1
153,7,0
153,8,1
154,1,0
154,2,0
154,3,0
154,4,0
154,5,0
154,6,0
154,7,0
154,8,0
155,1,0
155,2,0
155,3,0
155,4,0
155,5,0
155,6,0
155,7,0
155,8,0
156,1,0
156,2,0
156,3,0
156,4,0
156,5,0
156,6,1
156,7,0
156,8,0
157,1,0
157,2,0
157,3,0
157,4,0
157,5,0
157,6,0
157,7,0
157,8,0
158,1,0
158,2,0
158,3,0
158,4,0
158,5,0
158,6,0
158,7,0
158,8,0
159,1,0
159,2,0
159,3,0
159,4,0
159,5,0
159,6,0
159,7,0
159,8,0
160,1,0
160,2,0
160,3,0
160,4,0
160,5,0
160,6,0
160,7,0
160,8,0
161,1,0
161,2,1
161,3,0
161,4,4
161,5,0
161,6,5
161,7,1
161,8,0
162,1,0
162,2,0
162,3,0
162,4,0
162,5,0
162,6,1
162,7,0
162,8,0
163,1,0
163,2,0
163,3,0
163,4,0
163,5,0
163,6,0
163,7,0
163,8,0
